col_0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
col_1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.2,1.2,1.2,1.2,1.2
col_2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
col_3,0.01,0.01,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.01,0.01,0.01,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.01,0.1,0.2,0.3,0.4
col_4,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
row_0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,6.0,48.0,54.0,96.0,102.0,144.0,150.0,192.0,198.0,240.0,246.0,252.0,288.0,294.0,336.0,342.0,384.0,390.0,432.0,438.0,480.0,528.0,576.0,624.0,672.0
4,1.0,7.0,49.0,55.0,97.0,103.0,145.0,151.0,193.0,199.0,241.0,247.0,,289.0,295.0,337.0,343.0,385.0,391.0,433.0,439.0,481.0,529.0,577.0,625.0,673.0
5,2.0,8.0,50.0,56.0,98.0,104.0,146.0,152.0,194.0,200.0,242.0,248.0,508.0,290.0,296.0,338.0,344.0,386.0,392.0,434.0,440.0,482.0,530.0,578.0,626.0,674.0
6,3.0,9.0,51.0,57.0,99.0,105.0,147.0,153.0,195.0,201.0,243.0,249.0,,,,,,,,,,,,,,
8,,,,,,,,,,,,,257.0,293.0,299.0,341.0,347.0,389.0,395.0,437.0,443.0,485.0,533.0,581.0,629.0,677.0
