length,nodeId,phenotype,light
0.05,1,DW,low
0.17199259418213766,2,DW,low
0.05,3,DW,low
0.05,4,DW,low
0.05,5,DW,low
0.05,6,DW,low
0.05,7,DW,low
0.05,8,DW,low
0.05,9,DW,low
0.05,10,DW,low
0.05,11,DW,low
0.05,12,DW,low
0.05,13,DW,low
0.0,14,DW,low
0.8096109795705675,1,SLM,low
1.0845204437955633,2,SLM,low
2.999578484312891,3,SLM,low
0.06348283781062351,4,SLM,low
0.0,5,SLM,low
0.05,1,WT,low
0.22380230322962733,2,WT,low
0.05,3,WT,low
0.05,4,WT,low
0.05,5,WT,low
0.05,6,WT,low
0.05,7,WT,low
0.05,8,WT,low
0.05,9,WT,low
0.14352958394335297,1,WTD,low
7.528893038854321,2,WTD,low
0.12555825814193747,3,WTD,low
0.13644678446006964,4,WTD,low
0.13947108422715443,5,WTD,low
0.1420040206107445,6,WTD,low
0.05,7,WTD,low
0.16539570541227297,1,DW,medium
0.32457131043075405,2,DW,medium
3.0523785292290198,3,DW,medium
0.1346192124271215,4,DW,medium
0.1344714306899033,5,DW,medium
0.13697371465845048,6,DW,medium
0.13020362112375317,7,DW,medium
2.877263019066079,8,DW,medium
2.350819479275132,9,DW,medium
2.1188939125919797,10,DW,medium
2.1352138592596344,11,DW,medium
2.209337414299858,12,DW,medium
2.362191001351909,13,DW,medium
2.83760888575883,14,DW,medium
0.10739434762860742,15,DW,medium
0.10464646583038781,16,DW,medium
0.08816600009603158,17,DW,medium
0.08634546080981205,18,DW,medium
0.08591613745598654,19,DW,medium
0.07842757874050235,20,DW,medium
0.07607455252386656,21,DW,medium
0.07160095756374986,22,DW,medium
0.06937928858687664,23,DW,medium
0.06393444080884843,24,DW,medium
0.058722791161863436,25,DW,medium
0.054467685574417404,26,DW,medium
0.05141682332560532,27,DW,medium
0.05075359913399302,28,DW,medium
0.05,29,DW,medium
0.05,30,DW,medium
0.05,31,DW,medium
0.05,32,DW,medium
1.7164490460926742,1,SLM,medium
2.259059059253484,2,SLM,medium
6.033396499372051,3,SLM,medium
1.0416209699214147,4,SLM,medium
0.0,5,SLM,medium
0.0531861666452286,1,WT,medium
14.100564023121803,2,WT,medium
0.11054198926882539,3,WT,medium
0.11464907004261483,4,WT,medium
0.11573705715287526,5,WT,medium
0.11519550703149102,6,WT,medium
0.11446412908277626,7,WT,medium
0.11375098851908612,8,WT,medium
0.061583502342459434,9,WT,medium
0.05297662705160666,10,WT,medium
0.052749746750934634,11,WT,medium
0.05,12,WT,medium
0.05,13,WT,medium
0.05,14,WT,medium
0.3369520825947347,1,WTD,medium
21.030043699976815,2,WTD,medium
0.2632420585807146,3,WTD,medium
5.8168977185283675,4,WTD,medium
5.7061441227236145,5,WTD,medium
10.828454285864822,6,WTD,medium
0.05,7,WTD,medium
0.3005340104580868,1,DW,high
0.3842833186702186,2,DW,high
13.667902651007788,3,DW,high
3.2279052066265828,4,DW,high
3.050896896918028,5,DW,high
2.822787649009352,6,DW,high
3.015058722065377,7,DW,high
3.2418794820621057,8,DW,high
8.736354015638224,9,DW,high
8.856826789589178,10,DW,high
0.1883636940720942,11,DW,high
0.18697657860469324,12,DW,high
3.047428394652635,13,DW,high
2.6827289051222643,14,DW,high
2.593449556059917,15,DW,high
2.572756073238837,16,DW,high
2.8439855891834886,17,DW,high
0.18172876504851895,18,DW,high
0.17890172407385216,19,DW,high
0.1796826867432566,20,DW,high
0.17023072214464385,21,DW,high
0.16703205491937256,22,DW,high
0.15917302531372354,23,DW,high
0.15126455509768516,24,DW,high
0.13414715525183618,25,DW,high
0.05,26,DW,high
0.05,27,DW,high
0.05,28,DW,high
0.05,29,DW,high
0.05,30,DW,high
0.05,31,DW,high
0.05,32,DW,high
0.05,33,DW,high
0.05,34,DW,high
0.05,35,DW,high
0.05,36,DW,high
0.05,37,DW,high
0.05,38,DW,high
2.6446328828297863,1,SLM,high
3.2696584573659053,2,SLM,high
8.450621632111893,3,SLM,high
2.8761343427742423,4,SLM,high
0.04030630778917255,5,SLM,high
0.0,6,SLM,high
0.47268435766283723,1,WT,high
22.83867948142455,2,WT,high
8.043553598420534,3,WT,high
0.248085906093355,4,WT,high
0.25302160640797366,5,WT,high
0.25334581229806424,6,WT,high
0.2531719467622259,7,WT,high
0.2381732236067224,8,WT,high
0.19403769387492165,9,WT,high
0.18957264483309616,10,WT,high
0.16675573077540623,11,WT,high
0.12729849084670758,12,WT,high
0.11561876775646336,13,WT,high
0.08267165542808437,14,WT,high
0.056709921523116005,15,WT,high
0.05280330698306039,16,WT,high
0.05,17,WT,high
0.05,18,WT,high
6.5577741637182925,1,WTD,high
26.609038850563067,2,WTD,high
3.288679071942846,3,WTD,high
12.433663475373082,4,WTD,high
9.55937989563087,5,WTD,high
24.06132461951556,6,WTD,high
0.05,7,WTD,high
