BBCH,depth,treatment,RLD,RLD_SE
14,20,L_WT,0.081800271623801,0.0146304151217299
14,20,L_rth3,0.0721763078968961,0.00782391016831081
14,20,S_WT,0.121150991709815,0.0394321403079891
14,20,S_rth3,0.119205351837705,0.0278773642272397
19,20,L_WT,0.31955081628611,0.0825637932153261
19,40,L_WT,0.345596016184251,0.0160678746518872
19,20,L_rth3,0.370814305520188,0.0571852896770558
19,40,L_rth3,0.264047477576889,0.0280117509615974
19,20,S_WT,1.15784155278273,0.269412320512748
19,40,S_WT,0.768568924539513,0.121151465912557
19,20,S_rth3,0.689786987522282,0.109243523400661
19,40,S_rth3,0.412750318309142,0.0661965654600511
59,20,L_WT,0.769364980335569,0.101522118806066
59,40,L_WT,1.03529509379509,0.0549637590200872
59,60,L_WT,1.55696990917579,0.115904398454942
59,20,L_rth3,0.661131751690575,0.21210838460749
59,40,L_rth3,1.00194187250658,0.12118297900893
59,60,L_rth3,1.50432891944657,0.103757088524945
59,20,S_WT,2.07508597883598,0.394137327691368
59,40,S_WT,1.51336257533316,0.220748394451179
59,60,S_WT,1.49636847466259,0.123815151396283
59,20,S_rth3,1.11293953541012,0.0743487206847483
59,40,S_rth3,1.0354435248847,0.0776605957198191
59,60,S_rth3,1.37998029312735,0.183873714192645
83,20,L_WT,0.648218430806666,0.0974219086051963
83,40,L_WT,0.897211060181648,0.111311434514461
83,60,L_WT,1.3501953286365,0.168278693774953
83,20,L_rth3,0.441509669524375,0.126891781803387
83,40,L_rth3,0.521854808590103,0.0992110369087017
83,60,L_rth3,1.01354910449028,0.11191176042238
83,20,S_WT,3.45417764479529,0.362273543254626
83,40,S_WT,1.6000230314348,0.192465573635814
83,60,S_WT,1.48180728857199,0.196336630840715
83,20,S_rth3,2.32766503975327,0.201659973150121
83,40,S_rth3,1.16220748097219,0.0834560493060069
83,60,S_rth3,1.15502431881844,0.0736529711957124
